clock_timestamp,simulated_timestamp,container_id,shipment_id,commodity,origin,destination,latitude,longitude,temperature,humidity,vibration,pressure,battery_level,door_status,light_detected,gps_speed,spoilage_index,sensor_status,alert_level
2026-07-21 18:51:42,2026-07-21 18:51:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.38809,78.48216,9.69,91.19,0.19,1016.33,99.99,Closed,False,56.35,0.24,Healthy,Normal
2026-07-21 18:51:42,2026-07-21 19:21:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.39227,78.48131,9.86,91.34,0.2,1022.56,99.98,Closed,False,52.19,0.25,Healthy,Normal
2026-07-21 18:51:42,2026-07-21 19:51:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.39448,78.47983,9.85,90.78,0.21,1016.29,99.97,Closed,False,52.83,0.26,Healthy,Normal
2026-07-21 18:51:42,2026-07-21 20:21:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.39777,78.478,9.87,90.45,0.19,1018.19,99.96,Closed,False,55.31,0.26,Healthy,Normal
2026-07-21 18:51:42,2026-07-21 20:51:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.40132,78.47499,9.97,89.96,0.18,1003.83,99.95,Closed,False,55.71,0.26,Healthy,Normal
2026-07-21 18:51:42,2026-07-21 21:21:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.4039,78.47584,10.07,89.62,0.16,1019.41,99.94,Closed,False,53.26,0.27,Healthy,Normal
2026-07-21 18:51:42,2026-07-21 21:51:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.40601,78.47544,9.98,90.03,0.14,1012.58,99.93,Closed,False,54.57,0.26,Healthy,Normal
2026-07-21 18:51:42,2026-07-21 22:21:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.40905,78.4715,9.91,90.22,0.16,1000.56,99.92,Closed,False,52.65,0.26,Healthy,Normal
2026-07-21 18:51:42,2026-07-21 22:51:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.41399,78.47011,10.03,89.92,0.18,1007.22,99.91,Closed,False,53.08,0.27,Healthy,Normal
2026-07-21 18:51:42,2026-07-21 23:21:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.41835,78.47094,10.07,89.65,0.2,1010.11,99.9,Closed,False,54.31,0.28,Healthy,Normal
2026-07-21 18:51:42,2026-07-21 23:51:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.42178,78.47185,10.21,89.71,0.2,1011.06,99.89,Closed,False,52.5,0.29,Healthy,Normal
2026-07-21 18:51:42,2026-07-22 00:21:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.42378,78.46998,10.3,89.42,0.21,1017.2,99.88,Closed,False,53.71,0.3,Healthy,Warning
2026-07-21 18:51:42,2026-07-22 00:51:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.42765,78.46788,10.45,89.98,0.2,1022.71,99.87,Closed,False,57.66,0.31,Healthy,Warning
2026-07-21 18:51:42,2026-07-22 01:21:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.4322,78.46341,10.46,89.92,0.21,1011.57,99.86,Closed,False,56.53,0.31,Healthy,Warning
2026-07-21 18:51:42,2026-07-22 01:51:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.43387,78.45871,10.59,89.93,0.23,1013.61,99.85,Closed,False,53.69,0.32,Healthy,Warning
2026-07-21 18:51:42,2026-07-22 02:21:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.437,78.45847,10.75,90.47,0.25,1001.18,99.84,Closed,False,53.07,0.34,Healthy,Warning
2026-07-21 18:51:42,2026-07-22 02:51:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.43966,78.45428,10.66,90.62,0.24,1010.02,99.83,Closed,False,53.75,0.33,Healthy,Warning
2026-07-21 18:51:42,2026-07-22 03:21:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.44326,78.45181,10.8,90.14,0.26,1000.08,99.82,Closed,False,52.18,0.34,Healthy,Warning
2026-07-21 18:51:42,2026-07-22 03:51:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.44739,78.45166,10.96,89.6,0.29,1015.81,99.81,Open,True,57.69,0.36,Healthy,Warning
2026-07-21 18:51:42,2026-07-22 04:21:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.45158,78.45211,11.03,90.1,0.31,1009.31,99.8,Closed,False,58.0,0.37,Healthy,Warning
2026-07-21 18:51:42,2026-07-22 04:51:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.45449,78.45186,11.13,90.16,0.31,1000.53,99.79,Closed,False,57.06,0.38,Healthy,Warning
2026-07-21 18:51:42,2026-07-22 05:21:42,CNT001,SHP1001,Potatoes,Hyderabad,Mumbai,17.45872,78.45207,11.29,89.62,0.34,1004.14,99.78,Closed,False,55.73,0.4,Healthy,Warning
2026-07-21 18:51:42,2026-07-21 18:51:42,CNT002,SHP1002,Mangoes,Hyderabad,Chennai,17.38619,78.48275,11.61,79.89,0.19,1012.4,99.99,Closed,False,47.23,0.2,Healthy,Normal
