timestamp,container_id,shipment_id,commodity,origin,destination,latitude,longitude,temperature,humidity,vibration,pressure,battery_level,door_status,light_detected,gps_speed,spoilage_index,sensor_status,alert_level
15-07-2026 17:11:47,CNT001,SHP1001,Oranges,Vizag,Mumbai,17.39,78.4767,5.7,90.21,0.23,1008.68,99.99,Closed,FALSE,50.92,0.09,Healthy,Normal
15-07-2026 17:11:52,CNT001,SHP1001,Oranges,Vizag,Mumbai,17.395,78.4667,5.78,90.08,0.22,1013.04,99.98,Closed,FALSE,51.06,0.1,Healthy,Normal
15-07-2026 17:11:57,CNT001,SHP1001,Oranges,Vizag,Mumbai,17.4,78.4567,5.74,89.61,0.19,1016.91,99.97,Closed,FALSE,51.44,0.09,Healthy,Normal
15-07-2026 17:12:02,CNT001,SHP1001,Oranges,Vizag,Mumbai,17.405,78.4467,5.64,90.08,0.17,1012.13,99.96,Closed,FALSE,49.57,0.08,Healthy,Normal
15-07-2026 17:12:07,CNT001,SHP1001,Oranges,Vizag,Mumbai,17.41,78.4367,5.72,90.65,0.19,1005.05,99.95,Closed,FALSE,54.89,0.08,Healthy,Normal
15-07-2026 17:12:12,CNT001,SHP1001,Oranges,Vizag,Mumbai,17.415,78.4267,5.86,91.18,0.21,995.68,99.94,Closed,FALSE,49.53,0.1,Healthy,Normal
15-07-2026 17:12:17,CNT001,SHP1001,Oranges,Vizag,Mumbai,17.42,78.4167,5.87,90.73,0.22,1010.56,99.93,Closed,FALSE,53.05,0.1,Healthy,Normal
15-07-2026 17:12:22,CNT001,SHP1001,Oranges,Vizag,Mumbai,17.425,78.4067,5.74,90.26,0.22,998.68,99.92,Closed,FALSE,51.2,0.09,Healthy,Normal
15-07-2026 17:12:27,CNT001,SHP1001,Oranges,Vizag,Mumbai,17.43,78.3967,5.87,90.54,0.23,1014.28,99.91,Closed,FALSE,51.87,0.1,Healthy,Normal
15-07-2026 17:12:32,CNT001,SHP1001,Oranges,Vizag,Mumbai,17.435,78.3867,5.88,91.07,0.23,1002.1,99.9,Closed,FALSE,50.06,0.1,Healthy,Normal
15-07-2026 17:12:37,CNT001,SHP1001,Oranges,Vizag,Mumbai,17.44,78.3767,6.05,91.55,0.21,1014.23,99.89,Closed,FALSE,49.36,0.11,Healthy,Normal
15-07-2026 17:12:42,CNT001,SHP1001,Oranges,Vizag,Mumbai,17.445,78.3667,6.23,90.96,0.21,1012.9,99.88,Closed,FALSE,54.35,0.13,Healthy,Normal
15-07-2026 17:12:47,CNT001,SHP1001,Oranges,Vizag,Mumbai,17.45,78.3567,6.36,90.71,0.24,1013,99.87,Closed,FALSE,51.99,0.14,Healthy,Normal
15-07-2026 17:12:52,CNT001,SHP1001,Oranges,Vizag,Mumbai,17.455,78.3467,6.46,91.3,0.26,1023.51,99.86,Closed,FALSE,52.21,0.15,Healthy,Normal
